video_id,video_title,views,watch_time_hours,subscribers_gained,publish_day,publish_hour
LfqMl6jiaKg,2 நிமிடத்தில் உடல் சூடு குறைக்க எளிய வழிமுறை | Reduce Body Heat in just 2 minutes,27187,867.5231,413,Saturday,0.0
XGLr2eUFcZc,🔥UPDATE:StomachFat=1 EffectiveMantra பலூன் வயிறா? 1 நிமிடம் போதும் குறைத்துவிடலாம்|kaaramkaalaikaapi,26942,737.9173,67,Friday,0.0
yxq517bQ9L8,நைனா மலை | Very Interesting Information | Naina Malai Vlog | புரட்டாசி மாத வழிபாடு கோவில்,26427,1581.9777,265,Tuesday,0.0
NWUSaOz7DPM,TOP Secret for Weight Loss🤫 | இது எவ்வளவு சாப்பிட்டாலும் எடை அதிகரிக்காது | Business Idea- Meesho,25617,1205.2449,88,Tuesday,0.0
QjbT5qce0zs,Extreme Weight Loss Sweet Recipes | Desserts |Sweets Which Control Cravings |Simple WeightLoss ideas,24414,1084.6565,160,Friday,0.0
WOLUCHu8-WI,Open Talks! | Quarantine Simple Tips for Weight Loss | Lock-Down Workouts and Diet Routine Challenge,23286,1337.5708,144,Tuesday,0.0
1h07e5a0R9o,Handmade Exclusive Collection of Aari Bridal Blouse | Bridal blouse collections with price in Tamil,23153,463.9701,159,Monday,0.0
NtSdC4uvsL0,கை தொடாமல் பூஜை பாத்திரம் சுத்தம் செய்வது எப்படி | How to clean Brass/ Bronze vessels in Easy Method,20201,530.2505,184,Wednesday,0.0
_AAE8zW9hhs,உடல் எடை வேகமாக குறைக்க சூப்பரான ஐடியா | Healthy Weight loss Rasam | Healthy Weight Loss diet,18736,652.5899,69,Tuesday,0.0
3SDwbDzMyss,3kgs சட்டுன்னு குறைக்கலாம்😀 Summer Weight Loss Drink|1Cup Challenge எடுக்கலாம் வாங்க| KKK,18399,504.9649,41,Monday,0.0
L7WvssFCZJE,எடை குறைக்க டயட் பட்டியல் | Lose 3kgs in a week | காலை முதல் இரவு வரை | Low Carb food ideas,17183,978.8417,133,Friday,0.0
mRFUOpTo-yE,அட்டகாசமா எடை குறைக்க சூப்பர் டிப்ஸ் | Weight loss Motivational ideas| Simple Weight loss method,16431,775.4919,120,Tuesday,0.0
5Zdywg6RDxg,"வயதான தோற்றம், கருவளையம், கரும்புள்ளி இவை அனைத்திற்கும் இது 1 சொட்டு போதும் | Instant Glow Tips",15736,532.4878,77,Sunday,0.0
NRyg3fTaM5k,5 Kurthi's Rs.777 ?? | KLM Fashion Mall | My Diwali Collections | Bangalore Shopping,15679,485.5451,103,Friday,0.0
zwJIypNRLiU,பிரசவத்திற்கு பின் இதை தடவினால் தொப்பை கடகடவென கரைந்துவிடும் | நீங்களும் சிக்குன்னு ஆகலாம்,15380,562.5931,111,Wednesday,0.0
AZgE909G4A0,Weight Loss Snack idea | நொறுக்கு தீனியை தவிர்த்து இது மாதிரி எடுத்துக்கொள்ளுங்கள்,15162,636.2537,74,Monday,0.0
ALBDQUrmoYE,முடி நீளமா வளர இது ஒன்னு போதுமே அறிவியல் உண்மை | முடி கொத்து கொத்தாக கொட்டுகிறதா???,13790,558.2412,47,Friday,0.0
Wm5tiuEazeI,"Only 3 Ingredients in Lock-Down Without Baking Powder, Maida, Oil Egg, Oven| கோதுமை வாழைப்பழம் கேக்",11456,382.0561,36,Thursday,0.0
wGRgUuWWugg,Proven Weight loss Facts | 7 days 7 simple Food Items To Burn The Extra Fat | Fat cutter ideas,11354,554.1863,137,Tuesday,0.0
5Mrw9iyo7go,2mins கேரளா ஸ்பெஷல் குலுக்கி | Effective Weight loss drink | kulukki sarbath in just 2mins,10520,348.287,45,Thursday,0.0
WgiUKNBUPrE,முகம் எப்போதும் பிரகாசமாகவும் பொலிவுடனும் இருக்க இதை மட்டும் தான் நான் செய்வேன் | Instant Glow,10434,518.7497,68,Thursday,0.0
vgEPeJAaR9c,Result in just 3 days Homemade Skin Whitening & Hair smoothening Gel | DIY In 5mins 2in1 gel- Tamil,9661,163.4711,53,Sunday,0.0
PjgnfMn2Sr8,FREE FREE FREE | Rs.10000 apparel i got it for FREE | என்னது இத்தனையும் இலவசமாவா? | Free Shopping,9313,211.7252,118,Monday,0.0
ScekVhHZbKA,100% long and bouncy hair solution | Homemade 2minutes work for black hair | Permanent solution,9246,157.6534,38,Sunday,0.0
45aVotJsgAg,வெறும் 1/2 ஸ்பூன் போதும் 10 நாட்களில் 4 கிலோ எடை கூடும் அதிசயம்  | Gain Weight Fast | Miracle drink,9066,238.9584,21,Wednesday,0.0
oxSi7suAZzk,அசால்டாக kgs குறைத்து விடலாம் வாங்க| Low Budget Weight Loss Drink| Budget Friendly Drink series-3,9044,342.0428,-16,Tuesday,0.0
VRs2kmwAPkE,Where to buy reasonable price Designer handbags in Bangalore | Clutches & Purse collections,8598,242.6952,110,Thursday,0.0
lD0oSs9rRfU,"இப்படிதான் நான் திரும்பவும் எடை குறைத்து, கலர் ஆனேன்| My Skin Color Transformation Secret",8563,364.5101,8,Tuesday,0.0
u-DNbqh_cxE,Maybelline Products Review | Winter Offer | Baby Lips | 630 flaming fuchsia | Tinted LipBalm,8370,120.5764,30,Tuesday,0.0
oysqC_qd164,Saree-இல் (+)Size பெண்கள் Slim-ஆ தெரிய அட்டகாசமான Tricks & Tips| Tricks To Look Slim in Sarees,7493,351.0301,-52,Sunday,0.0
cuAPrrIIvRA,வேகமாக எடை குறைக்க சிறந்த காலை உணவு | Breakfast recipe for Healthy Weight Loss,7472,186.1504,18,Thursday,0.0
rwlhMyqD1ZY,❤️அப்பா❤️ #fatherdaughter #dad #relationship #missing #memories #trending #reels #tamilmotivation,7297,13.4132,9,Sunday,0.0
NEdXMiydEDs,Weight Loss Sweet Recipe-1 | Lock-Down Sweet to Lose Weight Fast | Quarantine Sweets for Weight Loss,7283,284.1405,50,Friday,0.0
nBUQubbl-Nw,Lose 4kgs | 1 Minute 1 Glass Weight Loss Challenge | Budget friendly Weight Loss Drink at home | KKK,7145,260.7471,4,Thursday,0.0
ZVK2H98fSIo,Shop 8 Sarees just Rs.1000●★ | KLM Fashion Mall | Each Saree Costs only Rs.125 | Bangalore Shopping,6945,168.0653,29,Monday,0.0
UawjsOBaZfQ,Paal kolukattai | inippu kolukattai| Fooddata| KaaramKaalaiKaapi | vinayagar chathurthi special,6675,47.3812,9,Monday,0.0
5H6g65_dkWo,"🔥15-20kgs குறைக்கும் டயட்- 🏋️No Exercise ""Top Best Diet"" Lose 15kgs weight| The best diet in India",6411,314.3102,-110,Tuesday,0.0
tkgsVEn8MzE,உடல் எடையை வேகமாக குறைக்க செய்யும் | டயட் இருப்பவர்கள் கண்டிப்பாக எடுத்துக்கவேண்டிய ஒன்று,6293,174.559,-76,Wednesday,0.0
M49tCL407B8,விசேஷங்களுக்கு முன் இதை தொடர்ந்து செய்தாலே முகம் ஜொலிஜொலிக்கும் | Skin Whitening Magical Drink,6239,211.402,32,Sunday,0.0
Xuurp3JKrwo,எங்கள் வீட்டு குட்டி கிருஷ்ணர் லூட்டிகள் | கிருஷ்ண ஜெயந்தி பூஜை முறை | Krishna Jayanthi Pooja,6227,185.476,33,Saturday,0.0
1HuvBBmI9yo,எனக்கு ஏன் எடை குறையவே இல்லை? Live உங்கள் கேள்விக்கான பதில்,5987,196.1669,-17,Monday,0.0
Z82-2c8ZEas,"Extreme Weight Loss Drink| Loss Belly Fat Fast + Skin Glowing, Whitening Drink{Bridal Series}",5973,173.3792,-379,Wednesday,0.0
8dWU0cMpUuQ,Best Anti Aging Solution| அற்புத சக்தி கொண்ட பூ | எப்பேர்ப்பட்ட வயதான தோற்றத்தையும் ஜொலிக்க வைக்கும்,5919,233.0002,55,Thursday,0.0
YBnCqzcbDEk,TESTING Out Viral Life Hacks by 5 MINUTE CRAFTS in Tamil | Kaaramkaalaikaapi,5794,275.8718,16,Sunday,0.0
aYEyyhlbKq4,Offers & Discounts | Bangalore Shopping | Multi Store Shopping,5790,274.606,48,Tuesday,0.0
WpNITxEXbe8,"1/2  ஸ்பூன் மட்டும் போதும்| அனைத்திற்கும் ஒரே தீர்வு- கொழுப்பு, மலச்சிக்கல், குடல் புழு, தொப்பை| KKK",5508,193.4906,-27,Thursday,0.0
JAbW556Sqsw,வேகமாக எடை குறைக்க சிறந்த உணவு | Breakfast recipe for Healthy Weight Loss,5396,110.807,2,Monday,0.0
axfMXK1wEmw,உடல் எடையில் வேகமான மாற்றத்தை கொடுக்கும் மேஜிக் | சோயா பால் | பாதாம் பால்,4965,80.9569,-11,Friday,0.0
SZSKtrSKwb0,Tirupati Temple also located in Bangalore?? | திருப்பதி கோவில் பெங்களூரில் உள்ளதா?? | Travel Vlog,4863,237.6263,53,Tuesday,0.0
UolD0iZrxRI,"பாட்டி கூறும் ரகசியம் |வயிறு மதமதப்பு, உணவின் மீது வெறுப்பு |weight loss reason |குழந்தை சாப்பிடலையா",4750,154.6514,-6,Sunday,0.0
GkLWVKprhJY,இது சாப்பிட்டா Weight போடவே போடாது|Snacks சாப்பிட்டுக்கொண்டே Weight குறைக்கலாம்|BudgetFriendlySnacks,4628,159.3602,-30,Wednesday,0.0
rUzrE__Impw,100 வகை தோசையா? | 10 Category Dosa's? | 10 Weight Loss Dosa's | Channel Update | WorkFromHome Dosa's,4614,138.4148,36,Sunday,0.0
6G_TnPLHgdQ,Rs.3/Rs.4/Rs.10/Rs.20/Rs.50/Rs.100/Rs.200 Trending Earring Collections,4564,97.3039,54,Friday,0.0
GXfBlBniwas,Fruit Jelly Cake in Tamil | Homemade Jelly | Kids Favourite,4548,98.7275,28,Sunday,0.0
DZN_nENcISk,"இந்த வேர், இலை மட்டும் போதும் கரும்புள்ளி, தேமல், முகப்பரு தழும்புகள், அரிப்பு,Uneven SkinTone,ரோமம்",4392,144.477,-8,Sunday,0.0
mJ8jDIIiO4A,Life Change🤔 | இதுதான் என்னுடைய சுறுசுறுப்பான காலை வேலைகள்🥳 | யாரும் சொல்லிடாத Tips🤩,4028,189.2351,1,Sunday,0.0
JAyGXGrRfY4,யோசனை-உடல் எடையை குறைத்து பழைய எடையை தக்க வைத்துக் கொள்ள!இந்த பொருள் உபயோகித்து பார்த்திருக்கீங்களா?,3916,169.6834,-37,Sunday,0.0
RFfgysT09iY,வரகு கிச்சடி | Kodo Millet Khichdi | Healthy One-Pot Meal| Millet Food Idea| Satvic recipes,3618,19.4496,4,Monday,0.0
19yI7ExPbr8,"1 ஸ்பூன் மட்டும் போதும் அனைத்திற்கும் ஒரே தீர்வு-கொழுப்பு, மலச்சிக்கல், குடல்புழு, தொப்பை WeightLoss",3547,120.3072,-12,Sunday,0.0
A-yr9KSYRRQ,இனிமையான மாலை பொழுது | First Vlog- My Sunday Noon to Evening Vlog,3506,163.5517,24,Tuesday,0.0
AQvh4Yx8gyQ,Healthy Breakfast To Dinner ideas for 10+Months to 2yrs | ஒரு வயது குழந்தைக்கான சத்தான உணவு பட்டியல்,3505,168.6672,86,Wednesday,0.0
GDL6PpcXeKE,Beetroot Sweet| Diwali Recipe| Fooddata| KaaramKaalaiKaapi| Diwali sweets| Quick dessert| Easy Sweet,3504,27.6042,5,Sunday,0.0
2ruktFOyPs4,Ragi Rice Mudde| Ragi Kali| ராகி களி | Ragi balls| kelvaragu,3353,16.9519,2,Thursday,0.0
HKz6E8teuio,Miracle Natural Sweetener for Baby Food | White Sugar Replacement | Rich in Iron & good Calories,3290,75.7878,42,Friday,0.0
of7OjT_CigA,#PUTHUVARUSHAM2020 #WEIGHTLOSSTIPS #BEAUTYTIPS #SUMMERTIPS #1st LIVE,3228,63.8042,-4,Tuesday,0.0
tjGu6lBONzQ,A small present to him😍0-10months Collections | Memorable Photo and Video Clippings of Vithul | KKK,3225,82.6618,-1,Monday,0.0
ilLJAT965T4,Alien👽poochi in my home😱நல்லா சொதப்பிட்டேன்🙆 Youtube சொதப்பல் Challenge| Prank |Sisters atrocities,3083,99.1639,-22,Saturday,0.0
9_ysDn7yf90,1 Bowl- Effective result |Lose Weight Gradually |Healthier Version Of Us |Diet Starts #shorts #short,3041,6.9853,-3,Wednesday,0.0
92R2C6EkmS0,100% இலவச ஷாப்பிங் | 5000 ரூபாய் டாப் பிராண்டட் டிரஸ் முற்றிலும் இலவசம்,2867,101.7908,68,Wednesday,0.0
UqYsCshERXw,டயட் நேரத்தில் இது மாதிரி உணவு  எடுத்துக்கொண்டால் நல்லது | Food to restore energy | Rich in fibre,2795,36.6315,11,Friday,0.0
gxFaZ6xkhQw,Best Pongal Kolam Designs | Sankranthi rangoli Kolam Designs | Kolam Designs for Competitions,2789,44.1853,6,Monday,0.0
1E2sWe5keVY,உடல் எடை அதிகரிக்க | Miracle Weight Gaining Food | எதிர்ப்பு சக்தி கூட Immunity & Brain Booster,2728,84.6159,22,Monday,0.0
HfIKaq4XuWY,"எடை குறைய, ஞாபகசக்தி அதிகரிக்க, கூடுதல் கண்பார்வை, கேன்சர் குணமடைய ஒரு பழம் பலவித நன்மைகள் |1 Fruit",2670,48.4538,-10,Sunday,0.0
2x13w-vVeHo,ஒரு முறை இப்படி செய்து பாருங்களேன் | Amruthaphalam | Moar Kali | மோா் களி | Ayyangar special,2656,65.2475,30,Monday,0.0
zWxP9CHgY1k,Healthy Recipe for easy Weight Loss | Breakfast/ Dinner Recipe idea to lose Weight Fast,2627,55.6966,7,Monday,0.0
h3FfofKK22A,என் டைரியில் சென்னையில் ஒரு நாள் | Success Stories | HeloEvent @ guindy | YouTubers Meet | DIML,2522,90.1472,-29,Tuesday,0.0
LJQb_M6iA_Y,தெய்வம் தந்த பூவே | Teaser | Cover Dance by Muthuladdu Muthuladdu | KaaramKaalaiKaapi| SaranyaMohan,2358,26.6331,-57,Wednesday,0.0
iyfZmPd_TTs,தினை அல்வா in tamil | Foxtail Millet Halwa | Evening snacks | Sweet and Savory recipes,2315,82.3537,18,Tuesday,0.0
raGiG4_0ly4,Ladies Items below Rs.100 | Business Idea | Tea Shirts for Rs. 20 | Designer Bags for Rs. 100,2239,73.281,24,Wednesday,0.0
sppZLRhHTvQ,Diwali Recipe | எள்ளு வடை | எள்ளு அப்பளம் | Seasme Vada | Seasme Papad,2229,49.8454,8,Sunday,0.0
gxLcZ4Tw35g,🔥🏋‍♂️5 Mins Beginner Friendly Standing Arm Workout| LIVE EXPERIENCE| How To Reduce Arm Fat In 10Days,2208,81.2933,-1,Saturday,0.0
jT_JPL9vQcw,Weight Loss Dosa | Lock-Down Cake | Quarantine bday celebration | Activities for babies | Fun Vlog,2190,72.4474,-18,Saturday,0.0
HK-CfJmQu3w,அதிரசம் எளிய முறையில் | Adhirasam using Jaggery | Athirasam | Diwali sweet recipe | Kachayam,2189,63.9162,26,Friday,0.0
lrzeBUqKML8,❤தாரமாகாமலே தாயாகிவிடுகிறாள் தமக்கையின் குழந்தையை தன் குழந்தை போல் எண்ணுவதால்❤|Love| Whatsapp Status,2181,7.7724,3,Sunday,0.0
s5Gi4uBBSIg,"🙄ஒரே நாளில் 3kg weight குறைந்திருப்பேன்🙆‍♀️| எங்களுக்கு காத்திருந்த அதிர்ச்சிகளும், ஆச்சரியங்களும்",2168,85.5834,-46,Tuesday,0.0
5TLFPgQb_M4,Vinayagar chaturthi pooja Arrangements in Tamil | Ganesh chaturthi pooja Step by Step procedure,1925,68.4429,12,Friday,0.0
kka6ZA2T_yQ,Kaara Saaramana Poondu chutney| Fooddata| KaaramKaalaiKaapi| Garlic Chutney Recipe| Chutney ideas,1698,7.1227,4,Friday,0.0
Ly0JvfePECA,New Variety of Mysore Pak using Watermelon seeds | Kidney disease curing diet recipe,1638,40.9475,14,Tuesday,0.0
TzNKbARAaqg,Effort brings prosperity| Start with confidence you'll surely succeed| MotivationalMorning| Selfcare,1637,2.2399,0,Monday,0.0
6KdxnFpKwjE,என்னதான் அதில் இருக்கும் அப்படி ?!? | A Sneak Peak of Food Data,1626,12.8669,-4,Monday,0.0
maeyawOEKNs,இயற்கையின் ஆத்மார்த்தமான அணைப்பு #tamillove #ytshortstamil #travel #vlog #அழகு #அன்பு #minivlog,1600,3.3517,0,Wednesday,0.0
xT84KPG5ckE,🥞பஞ்சு போல 10 நிமிடத்தில் அரிசி அப்பம்😍 |மிருதுவான அப்பம் | Fooddata| KaaramKaalaiKaapi,1579,10.1408,0,Sunday,0.0
