Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),publish_day,publish_hour
D5QbQXwUugk,"💥R U READY for 15days Challenge? 😀WeightLoss, Digestion, Hydration Challenge | QuarantineChallenge",31-03-2020,315,35524,1411.2219,348,4.224,476441,4.55,Tuesday,0
Yx60Y9xC_Y4,One of the Coffee Varieties | காபி வகையில் இது ஒன்று | Instant Coffee,17-09-2018,209,32865,819.8213,168,8.696,335103,8.77,Monday,0
gnVVvGz0V34,75kg-50kg வருவதற்கு நம்ம பட்ஜெட்டில் இந்த ஆகாரம் மிகவும் உதவியது|Budget Friendly Weight Loss Drink-2,26-06-2020,416,32791,1194.4468,156,6.278,314527,7.61,Friday,0
3vsdqeR5j70,8 Sarees just Rs.1000●★ | KLM Fashion Mall | Each Saree Costs only Rs.125 | Bangalore Shopping,31-10-2018,541,29627,1168.3336,471,1.995,504313,4.31,Wednesday,0
CAlep7lNTrg,எவ்வளவு குண்டானவர்களும் இதை தொடர்ந்து குடித்தால் கொழுப்பு மளமளன்னு குறைந்திடும் Lose 4Kg in 10days,11-07-2019,391,28599,1186.3584,108,7.935,269130,5.87,Thursday,0
LfqMl6jiaKg,2 நிமிடத்தில் உடல் சூடு குறைக்க எளிய வழிமுறை | Reduce Body Heat in just 2 minutes,13-04-2019,216,27187,867.5231,413,10.689,183983,3.54,Saturday,0
XGLr2eUFcZc,🔥UPDATE:StomachFat=1 EffectiveMantra பலூன் வயிறா? 1 நிமிடம் போதும் குறைத்துவிடலாம்|kaaramkaalaikaapi,17-07-2020,216,26942,737.9173,67,5.084,315391,6.56,Friday,0
yxq517bQ9L8,நைனா மலை | Very Interesting Information | Naina Malai Vlog | புரட்டாசி மாத வழிபாடு கோவில்,09-10-2018,1153,26427,1581.9777,265,7.915,174386,10.16,Tuesday,0
NWUSaOz7DPM,TOP Secret for Weight Loss🤫 | இது எவ்வளவு சாப்பிட்டாலும் எடை அதிகரிக்காது | Business Idea- Meesho,10-09-2019,492,25617,1205.2449,88,7.325,385312,4.88,Tuesday,0
QjbT5qce0zs,Extreme Weight Loss Sweet Recipes | Desserts |Sweets Which Control Cravings |Simple WeightLoss ideas,08-05-2020,625,24414,1084.6565,160,6.385,420768,4.43,Friday,0
WOLUCHu8-WI,Open Talks! | Quarantine Simple Tips for Weight Loss | Lock-Down Workouts and Diet Routine Challenge,05-05-2020,669,23286,1337.5708,144,5.456,291594,5.46,Tuesday,0
1h07e5a0R9o,Handmade Exclusive Collection of Aari Bridal Blouse | Bridal blouse collections with price in Tamil,11-03-2019,272,23153,463.9701,159,3.816,284162,7.13,Monday,0
NtSdC4uvsL0,கை தொடாமல் பூஜை பாத்திரம் சுத்தம் செய்வது எப்படி | How to clean Brass/ Bronze vessels in Easy Method,21-11-2018,184,20201,530.2505,184,2.195,288199,5.46,Wednesday,0
_AAE8zW9hhs,உடல் எடை வேகமாக குறைக்க சூப்பரான ஐடியா | Healthy Weight loss Rasam | Healthy Weight Loss diet,23-07-2019,351,18736,652.5899,69,4.837,235555,5.64,Tuesday,0
3SDwbDzMyss,3kgs சட்டுன்னு குறைக்கலாம்😀 Summer Weight Loss Drink|1Cup Challenge எடுக்கலாம் வாங்க| KKK,18-05-2020,229,18399,504.9649,41,2.276,222249,5.56,Monday,0
L7WvssFCZJE,எடை குறைக்க டயட் பட்டியல் | Lose 3kgs in a week | காலை முதல் இரவு வரை | Low Carb food ideas,01-03-2019,689,17183,978.8417,133,7.871,124203,3.96,Friday,0
mRFUOpTo-yE,அட்டகாசமா எடை குறைக்க சூப்பர் டிப்ஸ் | Weight loss Motivational ideas| Simple Weight loss method,21-04-2020,630,16431,775.4919,120,2.835,224021,5.17,Tuesday,0
5Zdywg6RDxg,"வயதான தோற்றம், கருவளையம், கரும்புள்ளி இவை அனைத்திற்கும் இது 1 சொட்டு போதும் | Instant Glow Tips",22-09-2019,240,15736,532.4878,77,4.508,249042,4.19,Sunday,0
NRyg3fTaM5k,5 Kurthi's Rs.777 ?? | KLM Fashion Mall | My Diwali Collections | Bangalore Shopping,02-11-2018,514,15679,485.5451,103,3.491,189104,4.89,Friday,0
zwJIypNRLiU,பிரசவத்திற்கு பின் இதை தடவினால் தொப்பை கடகடவென கரைந்துவிடும் | நீங்களும் சிக்குன்னு ஆகலாம்,21-08-2019,338,15380,562.5931,111,2.931,188595,4.49,Wednesday,0
AZgE909G4A0,Weight Loss Snack idea | நொறுக்கு தீனியை தவிர்த்து இது மாதிரி எடுத்துக்கொள்ளுங்கள்,15-07-2019,628,15162,636.2537,74,4.932,140014,5.56,Monday,0
ALBDQUrmoYE,முடி நீளமா வளர இது ஒன்னு போதுமே அறிவியல் உண்மை | முடி கொத்து கொத்தாக கொட்டுகிறதா???,31-01-2020,292,13790,558.2412,47,3.102,183552,4.68,Friday,0
Wm5tiuEazeI,"Only 3 Ingredients in Lock-Down Without Baking Powder, Maida, Oil Egg, Oven| கோதுமை வாழைப்பழம் கேக்",23-04-2020,381,11456,382.0561,36,1.731,159267,5.14,Thursday,0
wGRgUuWWugg,Proven Weight loss Facts | 7 days 7 simple Food Items To Burn The Extra Fat | Fat cutter ideas,08-01-2019,681,11354,554.1863,137,6.475,94448,3.7,Tuesday,0
5Mrw9iyo7go,2mins கேரளா ஸ்பெஷல் குலுக்கி | Effective Weight loss drink | kulukki sarbath in just 2mins,04-04-2019,265,10520,348.287,45,3.332,163574,3.53,Thursday,0
WgiUKNBUPrE,முகம் எப்போதும் பிரகாசமாகவும் பொலிவுடனும் இருக்க இதை மட்டும் தான் நான் செய்வேன் | Instant Glow,18-07-2019,641,10434,518.7497,68,3.889,136539,3.64,Thursday,0
vgEPeJAaR9c,Result in just 3 days Homemade Skin Whitening & Hair smoothening Gel | DIY In 5mins 2in1 gel- Tamil,24-03-2019,227,9661,163.4711,53,3.756,52367,2.93,Sunday,0
PjgnfMn2Sr8,FREE FREE FREE | Rs.10000 apparel i got it for FREE | என்னது இத்தனையும் இலவசமாவா? | Free Shopping,24-12-2018,683,9313,211.7252,118,6.679,132454,5.05,Monday,0
ScekVhHZbKA,100% long and bouncy hair solution | Homemade 2minutes work for black hair | Permanent solution,11-11-2018,200,9246,157.6534,38,2.844,33150,2.79,Sunday,0
45aVotJsgAg,வெறும் 1/2 ஸ்பூன் போதும் 10 நாட்களில் 4 கிலோ எடை கூடும் அதிசயம்  | Gain Weight Fast | Miracle drink,29-01-2020,251,9066,238.9584,21,1.766,85579,4.27,Wednesday,0
oxSi7suAZzk,அசால்டாக kgs குறைத்து விடலாம் வாங்க| Low Budget Weight Loss Drink| Budget Friendly Drink series-3,07-07-2020,324,9044,342.0428,-16,1.837,134011,4.45,Tuesday,0
VRs2kmwAPkE,Where to buy reasonable price Designer handbags in Bangalore | Clutches & Purse collections,03-01-2019,451,8598,242.6952,110,2.97,124798,5.58,Thursday,0
